Year/Month,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,No. of cos.,Average_PER(times),Average_PBR(times),"Average_Earnings
Per Share(Yen)","Average_Net Assets
Per Share(Yen)","Weighted average_
PER(times)","Weighted average_
PBR(times)","Weighted average_
Earnings(￥)","Weighted average_
Net Assets(￥)"
2024/01,グロース市場,Growth,6 パルプ・紙,6 Pulp & Paper,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,7 化学,7 Chemicals,4.0,"=""－""",2.5,-17.38,359.42,"=""－""",1.9,-951000000.0,17449000000.0
2024/01,グロース市場,Growth,8 医薬品,8 Pharmaceutical,34.0,"=""－""",3.6,-39.47,130.54,"=""－""",3.1,-51012049000.0,147439780000.0
2024/01,グロース市場,Growth,9 石油・石炭製品,9 Oil & Coal Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,10 ゴム製品,10 Rubber Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,11 ガラス・土石製品,11 Glass & Ceramics Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,12 鉄鋼,12 Iron & Steel,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,13 非鉄金属,13 Nonferrous Metals,2.0,"=""－""",1.8,-84.36,634.66,"=""－""",1.7,-1686000000.0,9904000000.0
2024/01,グロース市場,Growth,14 金属製品,14 Metal Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,15 機械,15 Machinery,4.0,"=""－""",3.1,-19.79,226.4,"=""－""",2.8,-891066000.0,15176084000.0
2024/01,グロース市場,Growth,16 電気機器,16 Electric Appliances,6.0,144.9,3.5,8.76,366.29,"=""＊""",3.9,7000000.0,20545000000.0
2024/01,グロース市場,Growth,17 輸送用機器,17 Transportation Equipment,3.0,21.9,3.7,87.32,515.83,27.6,3.9,1410000000.0,9876000000.0
2024/01,グロース市場,Growth,18 精密機器,18 Precision Instruments,5.0,"=""－""",2.3,-24.43,114.83,"=""－""",1.6,-5555000000.0,54844000000.0
2024/01,グロース市場,Growth,19 その他製品,19 Other Products,7.0,25.1,1.9,38.42,505.05,34.4,1.7,3862000000.0,78243000000.0
2024/01,グロース市場,Growth,20 電気・ガス業,20 Electric Power & Gas,1.0,"=""－""",3.0,-51.29,423.74,"=""－""",3.0,-1526000000.0,12608000000.0
2024/01,グロース市場,Growth,21 陸運業,21 Land Transportation,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,22 海運業,22 Marine Transportation,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,23 空運業,23 Air Transportation,1.0,10.8,2.6,94.91,396.44,10.8,2.6,5726000000.0,23917000000.0
2024/01,グロース市場,Growth,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,1.0,8.9,1.7,60.92,316.16,8.9,1.7,628000000.0,3259000000.0
2024/01,グロース市場,Growth,25 情報・通信業,25 Information & Communication,231.0,69.8,4.2,19.05,317.06,625.3,4.7,4540529000.0,597815097280.0
2024/01,グロース市場,Growth,26 卸売業,26 Wholesale Trade,9.0,33.7,2.7,33.88,423.56,25.9,3.1,3948000000.0,33197000000.0
2024/01,グロース市場,Growth,27 小売業,27 Retail Trade,30.0,73.7,3.2,15.38,349.86,80.8,3.6,2927083000.0,65619584169.0
2024/01,グロース市場,Growth,28 銀行業,28 Banks,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,29 証券、商品先物取引業,29 Securities & Commodity Futures,4.0,20.0,2.6,115.54,883.94,39.2,4.2,5840338000.0,54257537000.0
2024/01,グロース市場,Growth,30 保険業,30 Insurance,4.0,50.5,1.5,20.95,703.6,"=""－""",2.3,-3373000000.0,61604000000.0
2024/01,グロース市場,Growth,31 その他金融業,31 Other Financing Business,4.0,26.6,5.0,73.45,392.0,56.3,3.9,561000000.0,8095000000.0
2024/01,グロース市場,Growth,32 不動産業,32 Real Estate,21.0,15.4,2.4,106.98,691.14,39.3,2.6,8054863000.0,123361840549.0
2024/01,グロース市場,Growth,33 サービス業,33 Services,176.0,32.2,3.3,43.99,423.48,36.4,3.9,52752598571.0,489400362000.0
2024/01,－,－,大型株,Large ,99.0,23.3,2.4,344.22,3292.73,19.1,1.7,29412977384615.0,338212959000000.0
2024/01,－,－,中型株,Medium ,398.0,18.9,1.5,194.91,2454.22,18.7,1.3,13755452818400.0,201008444420697.0
2024/01,－,－,小型株,Small ,1649.0,15.1,1.1,128.53,1852.22,16.2,1.1,5995627143977.0,88007321535568.0
2024/02,プライム市場,Prime,総合,Composite,1647.0,17.6,1.4,174.18,2206.27,19.5,1.5,48590353784402.0,616195778571771.0
2024/02,プライム市場,Prime,総合（金融業を除く）,Non-Financial,1532.0,18.1,1.5,172.81,2103.26,19.9,1.7,42702970882922.0,507436108668771.0
2024/02,プライム市場,Prime,　　　　　 製造業,　　　　 Manufacturing ,715.0,19.2,1.4,184.94,2522.63,21.7,1.8,23578575679907.0,290536297016044.0
2024/02,プライム市場,Prime,　　　　 非製造業,　　　　 Non-Manufacturing ,817.0,16.9,1.6,162.19,1736.26,17.6,1.6,19124395203015.0,216899811652727.0
2024/02,プライム市場,Prime,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,12.3,1.0,188.9,2317.73,14.0,1.1,54244000000.0,679567000000.0
2024/02,プライム市場,Prime,2 鉱業,2 Mining,5.0,4.5,0.7,820.33,5470.66,5.6,0.6,543193000000.0,4777927000000.0
2024/02,プライム市場,Prime,3 建設業,3 Construction,75.0,17.1,1.1,151.88,2325.62,13.7,1.2,1403714000000.0,16661961978000.0
2024/02,プライム市場,Prime,4 食料品,4 Foods,68.0,26.6,1.4,113.26,2156.31,23.2,1.8,1410491000000.0,18458919739064.0
2024/02,プライム市場,Prime,5 繊維製品,5 Textiles & Apparels,21.0,20.8,1.0,119.11,2491.01,23.5,0.9,141070709440.0,3760844709440.0
2024/02,プライム市場,Prime,6 パルプ・紙,6 Pulp & Paper,10.0,32.4,0.6,53.79,2743.67,104.8,0.7,16040000000.0,2584444000000.0
2024/02,プライム市場,Prime,7 化学,7 Chemicals,123.0,16.6,1.2,176.49,2485.12,20.5,1.6,2634834666667.0,34036156000000.0
2024/02,プライム市場,Prime,8 医薬品,8 Pharmaceutical,34.0,22.6,1.4,132.42,2104.16,29.4,2.3,1508946000000.0,19666383000000.0
2024/02,プライム市場,Prime,9 石油・石炭製品,9 Oil & Coal Products,6.0,9.1,0.9,204.52,2178.23,8.6,0.7,474131000000.0,5778671000000.0
2024/02,プライム市場,Prime,10 ゴム製品,10 Rubber Products,11.0,14.6,1.1,215.24,2783.64,15.2,1.3,444960000000.0,5155480000000.0
2024/02,プライム市場,Prime,11 ガラス・土石製品,11 Glass & Ceramics Products,23.0,24.7,1.5,209.34,3513.18,27.9,1.1,235194000000.0,6016167577965.0
2024/02,プライム市場,Prime,12 鉄鋼,12 Iron & Steel,22.0,9.2,0.8,343.93,4085.85,7.0,0.8,1200858000000.0,10746112000000.0
2024/02,プライム市場,Prime,13 非鉄金属,13 Nonferrous Metals,21.0,12.8,0.8,192.02,3169.53,12.4,0.8,460731000000.0,7081965000000.0
2024/02,プライム市場,Prime,14 金属製品,14 Metal Products,29.0,17.5,0.8,127.55,2817.15,17.6,1.0,265855000000.0,4709228000000.0
2024/02,プライム市場,Prime,15 機械,15 Machinery,112.0,21.3,1.8,215.67,2514.96,21.9,1.9,2208481160000.0,25226405114064.0
2024/02,プライム市場,Prime,16 電気機器,16 Electric Appliances,130.0,23.0,2.0,204.11,2354.98,26.1,2.5,5738608643800.0,60995463858416.0
2024/02,プライム市場,Prime,17 輸送用機器,17 Transportation Equipment,41.0,17.7,1.0,166.65,2995.45,20.0,1.4,5161370500000.0,72382095017095.0
2024/02,プライム市場,Prime,18 精密機器,18 Precision Instruments,27.0,14.1,2.0,256.38,1851.51,25.5,3.5,743446000000.0,5431472000000.0
2024/02,プライム市場,Prime,19 その他製品,19 Other Products,37.0,15.2,1.4,192.66,2076.29,21.8,2.4,933558000000.0,8506490000000.0
2024/02,プライム市場,Prime,20 電気・ガス業,20 Electric Power & Gas,21.0,36.6,0.7,42.67,2135.31,"=""－""",0.8,-51646000000.0,13737020923976.0
2024/02,プライム市場,Prime,21 陸運業,21 Land Transportation,39.0,15.4,1.2,220.11,2922.75,18.1,1.3,1308424000000.0,17977239000000.0
2024/02,プライム市場,Prime,22 海運業,22 Marine Transportation,5.0,2.8,1.0,1691.93,4708.18,2.5,1.0,2553771000000.0,6257386000000.0
2024/02,プライム市場,Prime,23 空運業,23 Air Transportation,2.0,23.0,1.6,131.76,1878.8,22.6,1.6,123900000000.0,1727348000000.0
2024/02,プライム市場,Prime,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,13.0,10.0,1.0,282.71,2839.95,11.2,1.0,129746000000.0,1502839000000.0
2024/02,プライム市場,Prime,25 情報・通信業,25 Information & Communication,181.0,26.3,2.5,109.46,1163.52,29.1,1.9,3127855000000.0,48285414000000.0
2024/02,プライム市場,Prime,26 卸売業,26 Wholesale Trade,127.0,12.2,1.2,250.0,2497.22,10.9,1.5,5626156000000.0,42023247000000.0
2024/02,プライム市場,Prime,27 小売業,27 Retail Trade,135.0,24.9,1.9,126.85,1620.25,29.3,2.4,1766778203015.0,22005260117233.0
2024/02,プライム市場,Prime,28 銀行業,28 Banks,67.0,9.3,0.4,217.07,4557.18,14.5,0.8,4113588901480.0,76717692903000.0
2024/02,プライム市場,Prime,29 証券、商品先物取引業,29 Securities & Commodity Futures,19.0,15.7,1.0,79.13,1204.68,26.1,0.9,270602000000.0,7763829000000.0
2024/02,プライム市場,Prime,30 保険業,30 Insurance,9.0,34.8,1.5,121.25,2801.46,27.4,1.5,791366000000.0,14870670000000.0
2024/02,プライム市場,Prime,31 その他金融業,31 Other Financing Business,20.0,12.5,1.1,249.28,2904.32,15.8,1.2,711826000000.0,9407478000000.0
2024/02,プライム市場,Prime,32 不動産業,32 Real Estate,51.0,14.2,1.6,178.65,1625.64,14.7,1.3,1223009000000.0,13948476000000.0
2024/02,プライム市場,Prime,33 サービス業,33 Services,157.0,19.6,2.1,103.25,958.02,35.7,1.7,1315251000000.0,27316125633518.0
2024/02,スタンダード市場,Standard,総合,Composite,1608.0,15.2,0.9,101.15,1714.09,18.2,1.1,1602582304483.0,25871729589435.0
2024/02,スタンダード市場,Standard,総合（金融業を除く）,Non-Financial,1566.0,15.2,0.9,102.16,1721.35,18.7,1.1,1479248142227.0,24216264199435.0
2024/02,スタンダード市場,Standard,　　　　　 製造業,　　　　 Manufacturing ,648.0,14.6,0.8,117.95,2215.97,17.6,0.9,640103720227.0,12884575980584.0
2024/02,スタンダード市場,Standard,　　　　 非製造業,　　　　 Non-Manufacturing ,918.0,15.7,1.0,91.01,1372.2,19.6,1.4,839144422000.0,11331688218851.0
2024/02,スタンダード市場,Standard,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,17.8,1.3,115.05,1603.44,13.8,0.9,3925000000.0,59016000000.0
2024/02,スタンダード市場,Standard,2 鉱業,2 Mining,1.0,44.9,9.2,62.02,303.04,44.9,9.2,3652720000.0,17846720000.0
2024/02,スタンダード市場,Standard,3 建設業,3 Construction,71.0,13.4,0.8,141.56,2495.0,13.8,1.0,87927212000.0,1233159254684.0
2024/02,スタンダード市場,Standard,4 食料品,4 Foods,53.0,26.5,1.2,85.51,1845.64,24.6,1.2,44081000000.0,886972914595.0
2024/02,スタンダード市場,Standard,5 繊維製品,5 Textiles & Apparels,28.0,16.9,0.6,70.38,1989.72,15.8,0.6,17538000000.0,435405000000.0
2024/02,スタンダード市場,Standard,6 パルプ・紙,6 Pulp & Paper,14.0,9.6,0.6,139.68,2229.77,9.8,0.6,12679000000.0,204845000000.0
2024/02,スタンダード市場,Standard,7 化学,7 Chemicals,83.0,15.4,0.8,128.29,2408.84,15.9,0.9,90363000000.0,1584071650000.0
2024/02,スタンダード市場,Standard,8 医薬品,8 Pharmaceutical,8.0,12.8,0.9,179.51,2546.76,27.8,0.9,28641000000.0,875624000000.0
2024/02,スタンダード市場,Standard,9 石油・石炭製品,9 Oil & Coal Products,4.0,99.6,0.8,11.8,1382.71,"=""－""",0.9,-283000000.0,73701000000.0
2024/02,スタンダード市場,Standard,10 ゴム製品,10 Rubber Products,7.0,10.7,0.7,154.6,2297.61,14.7,0.8,8056000000.0,157565000000.0
2024/02,スタンダード市場,Standard,11 ガラス・土石製品,11 Glass & Ceramics Products,31.0,16.3,0.8,90.8,1830.59,18.8,1.0,28809000000.0,541058000000.0
2024/02,スタンダード市場,Standard,12 鉄鋼,12 Iron & Steel,20.0,8.5,0.5,195.82,3054.78,12.1,0.6,23554000000.0,512035000000.0
2024/02,スタンダード市場,Standard,13 非鉄金属,13 Nonferrous Metals,11.0,12.8,0.8,100.39,1598.19,14.4,0.9,5420000000.0,89051000000.0
2024/02,スタンダード市場,Standard,14 金属製品,14 Metal Products,59.0,12.7,0.6,143.96,3142.22,15.1,0.6,38149000000.0,989262000000.0
2024/02,スタンダード市場,Standard,15 機械,15 Machinery,105.0,13.8,0.8,133.78,2179.79,16.2,0.9,108448431000.0,1914712502000.0
2024/02,スタンダード市場,Standard,16 電気機器,16 Electric Appliances,101.0,14.7,0.9,119.03,1916.54,13.2,1.0,151881289227.0,1931471913989.0
2024/02,スタンダード市場,Standard,17 輸送用機器,17 Transportation Equipment,45.0,22.8,0.7,81.64,2690.93,50.0,0.7,23014000000.0,1634912000000.0
2024/02,スタンダード市場,Standard,18 精密機器,18 Precision Instruments,17.0,16.8,1.1,59.63,927.23,17.9,1.4,23988000000.0,299465000000.0
