Year/Month,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,No. of cos.,Average_PER(times),Average_PBR(times),"Average_Earnings
Per Share(Yen)","Average_Net Assets
Per Share(Yen)","Weighted average_
PER(times)","Weighted average_
PBR(times)","Weighted average_
Earnings(￥)","Weighted average_
Net Assets(￥)"
2024/08,スタンダード市場,Standard,33 サービス業,33 Services,194.0,15.3,1.2,72.93,939.46,16.9,1.4,117259230750.0,1436105466263.0
2024/08,グロース市場,Growth,総合,Composite,584.0,39.9,3.0,29.07,386.19,103.0,3.4,73613417171.0,2217836556340.0
2024/08,グロース市場,Growth,総合（金融業を除く）,Non-Financial,572.0,41.6,3.0,27.61,378.2,131.9,3.6,54021111171.0,1999986076340.0
2024/08,グロース市場,Growth,　　　　　 製造業,　　　　 Manufacturing ,75.0,"=""－""",3.0,-8.22,266.22,"=""－""",3.0,-38191178000.0,375799926257.0
2024/08,グロース市場,Growth,　　　　 非製造業,　　　　 Non-Manufacturing ,497.0,36.4,3.0,33.02,395.1,64.9,3.7,92212289171.0,1624186150083.0
2024/08,グロース市場,Growth,1 水産・農林業,"1 Fishery,Agriculture & Forestry","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,2 鉱業,2 Mining,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,3 建設業,3 Construction,7.0,20.6,2.3,69.47,626.34,22.9,2.5,2564000000.0,22986000000.0
2024/08,グロース市場,Growth,4 食料品,4 Foods,3.0,36.1,4.3,21.77,184.21,"=""－""",5.4,-344000000.0,6559000000.0
2024/08,グロース市場,Growth,5 繊維製品,5 Textiles & Apparels,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,6 パルプ・紙,6 Pulp & Paper,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,7 化学,7 Chemicals,5.0,563.1,2.3,1.7,420.22,"=""－""",1.7,-295000000.0,21585000000.0
2024/08,グロース市場,Growth,8 医薬品,8 Pharmaceutical,38.0,"=""－""",5.3,-31.06,131.9,"=""－""",4.3,-36491073000.0,155300067000.0
2024/08,グロース市場,Growth,9 石油・石炭製品,9 Oil & Coal Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,10 ゴム製品,10 Rubber Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,11 ガラス・土石製品,11 Glass & Ceramics Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,12 鉄鋼,12 Iron & Steel,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,13 非鉄金属,13 Nonferrous Metals,3.0,19.3,1.2,56.55,942.25,"=""－""",1.2,-313000000.0,11291000000.0
2024/08,グロース市場,Growth,14 金属製品,14 Metal Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,15 機械,15 Machinery,4.0,"=""－""",3.7,-11.57,222.86,"=""－""",3.5,-559000000.0,14989000000.0
2024/08,グロース市場,Growth,16 電気機器,16 Electric Appliances,6.0,"=""－""",2.5,-49.66,369.27,"=""－""",2.6,-3207000000.0,22189000000.0
2024/08,グロース市場,Growth,17 輸送用機器,17 Transportation Equipment,3.0,13.1,2.2,109.9,654.03,13.9,2.3,2144000000.0,12963000000.0
2024/08,グロース市場,Growth,18 精密機器,18 Precision Instruments,6.0,"=""－""",5.2,-18.74,83.8,"=""－""",2.5,-4399105000.0,52597859257.0
2024/08,グロース市場,Growth,19 その他製品,19 Other Products,7.0,15.3,1.8,63.9,557.34,22.0,1.5,5273000000.0,78326000000.0
2024/08,グロース市場,Growth,20 電気・ガス業,20 Electric Power & Gas,2.0,21.8,2.5,46.99,402.58,20.9,2.2,2163973600.0,20351545000.0
2024/08,グロース市場,Growth,21 陸運業,21 Land Transportation,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,22 海運業,22 Marine Transportation,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,23 空運業,23 Air Transportation,1.0,14.1,1.5,49.68,461.75,14.1,1.5,2997000000.0,27857000000.0
2024/08,グロース市場,Growth,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,1.0,100.6,1.6,4.75,293.36,100.6,1.6,49000000.0,3024000000.0
2024/08,グロース市場,Growth,25 情報・通信業,25 Information & Communication,241.0,76.0,3.6,15.55,327.66,"=""－""",4.1,-3882451000.0,685859854000.0
2024/08,グロース市場,Growth,26 卸売業,26 Wholesale Trade,9.0,"=""－""",3.4,-14.58,352.62,58.0,4.0,2265000000.0,32717000000.0
2024/08,グロース市場,Growth,27 小売業,27 Retail Trade,32.0,29.8,3.1,40.4,390.89,45.3,4.6,14577784000.0,143331294534.0
2024/08,グロース市場,Growth,28 銀行業,28 Banks,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/08,グロース市場,Growth,29 証券、商品先物取引業,29 Securities & Commodity Futures,3.0,12.7,2.1,221.63,1350.83,21.5,3.4,11396000000.0,73136000000.0
2024/08,グロース市場,Growth,30 保険業,30 Insurance,4.0,23.5,1.3,52.35,959.55,23.6,1.3,7647000000.0,138403000000.0
2024/08,グロース市場,Growth,31 その他金融業,31 Other Financing Business,5.0,22.1,5.1,61.04,262.53,54.4,4.7,549306000.0,6311480000.0
2024/08,グロース市場,Growth,32 不動産業,32 Real Estate,20.0,14.8,1.9,102.66,779.69,16.2,2.1,16917863000.0,130398840549.0
2024/08,グロース市場,Growth,33 サービス業,33 Services,184.0,25.0,2.7,47.91,435.76,36.5,3.6,54560119571.0,557660616000.0
2024/08,－,－,大型株,Large ,99.0,24.8,2.3,293.79,3190.9,17.2,1.5,34398549100000.0,386982023000000.0
2024/08,－,－,中型株,Medium ,393.0,17.5,1.3,198.86,2600.97,16.2,1.2,16158279292710.0,224233246220994.0
2024/08,－,－,小型株,Small ,1636.0,14.9,1.0,128.96,1956.79,15.9,1.1,6281517674620.0,95273837980869.0
2024/09,プライム市場,Prime,総合,Composite,1636.0,16.7,1.2,162.16,2242.56,16.4,1.3,56222336350496.0,695824293950204.0
2024/09,プライム市場,Prime,総合（金融業を除く）,Non-Financial,1520.0,17.2,1.3,161.14,2121.65,17.1,1.4,48113286503496.0,568974065647204.0
2024/09,プライム市場,Prime,　　　　　 製造業,　　　　 Manufacturing ,711.0,18.4,1.2,165.61,2566.38,17.5,1.5,27786016053306.0,328822254365433.0
2024/09,プライム市場,Prime,　　　　 非製造業,　　　　 Non-Manufacturing ,809.0,16.1,1.5,157.21,1730.8,16.5,1.4,20327270450190.0,240151811281771.0
2024/09,プライム市場,Prime,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,10.1,0.9,244.67,2656.87,10.7,1.0,71684000000.0,788521000000.0
2024/09,プライム市場,Prime,2 鉱業,2 Mining,5.0,6.7,0.7,454.63,4538.51,6.5,0.6,453375000000.0,5264430000000.0
2024/09,プライム市場,Prime,3 建設業,3 Construction,74.0,14.2,1.1,172.3,2272.63,14.3,1.2,1470386000000.0,18176707978000.0
2024/09,プライム市場,Prime,4 食料品,4 Foods,67.0,19.7,1.3,146.39,2270.39,19.8,1.6,1697791000000.0,20414821358217.0
2024/09,プライム市場,Prime,5 繊維製品,5 Textiles & Apparels,21.0,21.9,1.0,123.88,2688.65,31.0,0.9,121325909091.0,4097221000000.0
2024/09,プライム市場,Prime,6 パルプ・紙,6 Pulp & Paper,10.0,9.6,0.5,172.08,3068.24,11.4,0.6,142908000000.0,2933226000000.0
2024/09,プライム市場,Prime,7 化学,7 Chemicals,121.0,20.5,1.1,125.19,2413.69,24.8,1.5,2181223000000.0,36257425000000.0
2024/09,プライム市場,Prime,8 医薬品,8 Pharmaceutical,34.0,26.4,1.4,106.9,2071.56,40.8,2.1,1111573000000.0,21582959000000.0
2024/09,プライム市場,Prime,9 石油・石炭製品,9 Oil & Coal Products,6.0,8.2,0.9,255.71,2400.18,7.4,0.7,620601000000.0,6460661000000.0
2024/09,プライム市場,Prime,10 ゴム製品,10 Rubber Products,11.0,10.2,0.9,278.92,3197.41,10.3,1.0,563330000000.0,5909134000000.0
2024/09,プライム市場,Prime,11 ガラス・土石製品,11 Glass & Ceramics Products,23.0,18.1,1.4,263.43,3360.66,15.5,1.0,417771000000.0,6538880093647.0
2024/09,プライム市場,Prime,12 鉄鋼,12 Iron & Steel,22.0,8.1,0.6,335.09,4369.02,6.5,0.6,1127737000000.0,12296056000000.0
2024/09,プライム市場,Prime,13 非鉄金属,13 Nonferrous Metals,21.0,77.7,0.8,35.31,3315.96,17.0,0.9,402670000000.0,7891770000000.0
2024/09,プライム市場,Prime,14 金属製品,14 Metal Products,29.0,17.4,0.7,108.52,2660.04,17.6,0.9,262274000000.0,5060156000000.0
2024/09,プライム市場,Prime,15 機械,15 Machinery,113.0,16.1,1.4,219.65,2556.29,18.6,1.6,2557809000000.0,28776708000000.0
2024/09,プライム市場,Prime,16 電気機器,16 Electric Appliances,129.0,23.8,1.6,156.35,2366.67,24.8,2.2,5891927644215.0,67903584815509.0
2024/09,プライム市場,Prime,17 輸送用機器,17 Transportation Equipment,41.0,13.6,0.8,194.4,3301.0,8.7,0.9,8867944500000.0,87080861098060.0
2024/09,プライム市場,Prime,18 精密機器,18 Precision Instruments,27.0,20.6,1.7,157.0,1886.43,24.7,3.1,778555000000.0,6250418000000.0
2024/09,プライム市場,Prime,19 その他製品,19 Other Products,36.0,16.6,1.3,158.68,2020.74,20.4,2.3,1040576000000.0,9368373000000.0
2024/09,プライム市場,Prime,20 電気・ガス業,20 Electric Power & Gas,21.0,6.5,0.7,243.14,2329.98,4.9,0.7,2254184334000.0,16637446874171.0
2024/09,プライム市場,Prime,21 陸運業,21 Land Transportation,38.0,14.0,1.0,214.84,2928.69,12.9,1.1,1657858000000.0,19648014000000.0
2024/09,プライム市場,Prime,22 海運業,22 Marine Transportation,5.0,7.9,0.8,460.88,4447.66,9.4,0.9,632761000000.0,6969357000000.0
2024/09,プライム市場,Prime,23 空運業,23 Air Transportation,2.0,10.3,1.3,271.46,2171.47,10.2,1.3,252631000000.0,2000972000000.0
2024/09,プライム市場,Prime,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,13.0,14.4,1.1,241.93,3200.74,14.5,1.0,111436000000.0,1684816000000.0
2024/09,プライム市場,Prime,25 情報・通信業,25 Information & Communication,180.0,23.3,2.3,111.69,1150.73,23.6,1.6,3799385100000.0,54604117000000.0
2024/09,プライム市場,Prime,26 卸売業,26 Wholesale Trade,124.0,12.2,1.1,211.76,2440.05,11.8,1.3,5142320000000.0,47349503000000.0
2024/09,プライム市場,Prime,27 小売業,27 Retail Trade,133.0,21.9,1.9,138.76,1613.3,28.1,2.3,1910795947710.0,23081139630420.0
2024/09,プライム市場,Prime,28 銀行業,28 Banks,68.0,10.6,0.4,171.75,4923.58,12.6,0.7,4723151847000.0,86472003303000.0
2024/09,プライム市場,Prime,29 証券、商品先物取引業,29 Securities & Commodity Futures,19.0,12.9,0.9,92.54,1292.57,12.9,0.8,490360000000.0,8383904000000.0
2024/09,プライム市場,Prime,30 保険業,30 Insurance,9.0,13.2,1.0,208.38,2775.17,12.5,1.2,1992639000000.0,21300430000000.0
2024/09,プライム市場,Prime,31 その他金融業,31 Other Financing Business,20.0,10.3,0.9,252.42,2978.85,12.5,1.1,902899000000.0,10693891000000.0
2024/09,プライム市場,Prime,32 不動産業,32 Real Estate,50.0,13.7,1.6,181.47,1570.89,13.6,1.2,1330311000000.0,14958399000000.0
2024/09,プライム市場,Prime,33 サービス業,33 Services,158.0,17.2,1.9,111.03,1026.51,37.7,1.6,1240143068480.0,28988387799180.0
2024/09,スタンダード市場,Standard,総合,Composite,1587.0,12.7,0.8,110.16,1777.57,15.8,1.0,1742840713557.0,26506692463991.0
2024/09,スタンダード市場,Standard,総合（金融業を除く）,Non-Financial,1546.0,12.7,0.8,111.63,1784.91,16.1,1.1,1622610323523.0,24733952303991.0
2024/09,スタンダード市場,Standard,　　　　　 製造業,　　　　 Manufacturing ,639.0,11.8,0.7,132.89,2312.11,13.6,0.8,751805000000.0,12893587011697.0
2024/09,スタンダード市場,Standard,　　　　 非製造業,　　　　 Non-Manufacturing ,907.0,13.6,0.9,96.65,1413.48,18.2,1.3,870805323523.0,11840365292294.0
2024/09,スタンダード市場,Standard,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,18.0,1.1,102.41,1674.43,12.0,0.8,4268000000.0,62520000000.0
2024/09,スタンダード市場,Standard,2 鉱業,2 Mining,1.0,7.2,2.2,127.62,415.6,7.2,2.2,7515720000.0,24475720000.0
2024/09,スタンダード市場,Standard,3 建設業,3 Construction,70.0,11.5,0.7,157.54,2562.41,19.6,0.9,59290879000.0,1294353293000.0
2024/09,スタンダード市場,Standard,4 食料品,4 Foods,51.0,17.2,1.2,134.81,1883.49,16.6,1.2,68302000000.0,938538000000.0
2024/09,スタンダード市場,Standard,5 繊維製品,5 Textiles & Apparels,28.0,12.8,0.5,87.65,2126.71,14.5,0.6,19896000000.0,468030000000.0
2024/09,スタンダード市場,Standard,6 パルプ・紙,6 Pulp & Paper,14.0,8.2,0.5,150.24,2326.32,10.3,0.6,12269000000.0,220644000000.0
2024/09,スタンダード市場,Standard,7 化学,7 Chemicals,82.0,16.0,0.8,119.86,2550.79,15.2,0.8,90365000000.0,1686721011697.0
2024/09,スタンダード市場,Standard,8 医薬品,8 Pharmaceutical,8.0,13.8,0.8,75.28,1338.39,11.5,1.5,11113000000.0,83030000000.0
2024/09,スタンダード市場,Standard,9 石油・石炭製品,9 Oil & Coal Products,4.0,11.9,0.6,82.09,1513.66,15.4,0.7,3853000000.0,79511000000.0
2024/09,スタンダード市場,Standard,10 ゴム製品,10 Rubber Products,7.0,8.3,0.6,182.27,2542.57,9.4,0.6,11617000000.0,176491000000.0
2024/09,スタンダード市場,Standard,11 ガラス・土石製品,11 Glass & Ceramics Products,30.0,8.0,0.7,165.28,1895.01,9.5,0.8,53236000000.0,596134000000.0
2024/09,スタンダード市場,Standard,12 鉄鋼,12 Iron & Steel,20.0,8.8,0.5,185.13,3302.78,11.6,0.6,27677000000.0,546406000000.0
2024/09,スタンダード市場,Standard,13 非鉄金属,13 Nonferrous Metals,10.0,13.9,0.6,75.59,1683.06,13.1,0.7,4775000000.0,90089000000.0
2024/09,スタンダード市場,Standard,14 金属製品,14 Metal Products,58.0,11.3,0.5,150.87,3322.98,18.1,0.5,30935000000.0,1053382000000.0
2024/09,スタンダード市場,Standard,15 機械,15 Machinery,105.0,11.0,0.7,151.25,2307.16,15.5,0.8,104066000000.0,2064090000000.0
2024/09,スタンダード市場,Standard,16 電気機器,16 Electric Appliances,100.0,13.2,0.8,117.79,2024.88,14.9,1.0,135215000000.0,2065489000000.0
2024/09,スタンダード市場,Standard,17 輸送用機器,17 Transportation Equipment,44.0,7.3,0.5,185.91,2685.56,8.6,0.5,106763000000.0,1739162000000.0
2024/09,スタンダード市場,Standard,18 精密機器,18 Precision Instruments,16.0,16.8,1.1,53.86,822.95,13.0,1.4,31425000000.0,288393000000.0
2024/09,スタンダード市場,Standard,19 その他製品,19 Other Products,62.0,10.4,0.5,106.09,2209.66,14.9,0.8,40298000000.0,797477000000.0
2024/09,スタンダード市場,Standard,20 電気・ガス業,20 Electric Power & Gas,4.0,"=""－""",0.3,-54.11,4917.2,173.8,0.4,368000000.0,161335000000.0
2024/09,スタンダード市場,Standard,21 陸運業,21 Land Transportation,20.0,8.2,0.5,241.62,3677.65,10.2,0.6,23690000000.0,381599000000.0
2024/09,スタンダード市場,Standard,22 海運業,22 Marine Transportation,6.0,17.3,0.5,75.84,2471.96,10.0,0.5,8353000000.0,175443000000.0
2024/09,スタンダード市場,Standard,23 空運業,23 Air Transportation,3.0,8.4,3.4,235.25,589.3,7.9,1.3,7852000000.0,47177000000.0
2024/09,スタンダード市場,Standard,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,22.0,12.9,0.5,106.07,2879.83,17.6,0.6,12397000000.0,362997000000.0
2024/09,スタンダード市場,Standard,25 情報・通信業,25 Information & Communication,178.0,17.8,1.6,67.01,742.74,28.8,2.8,154595560333.0,1579083424000.0
2024/09,スタンダード市場,Standard,26 卸売業,26 Wholesale Trade,165.0,10.2,0.7,158.43,2248.86,10.8,0.8,210365000000.0,2739804000000.0
2024/09,スタンダード市場,Standard,27 小売業,27 Retail Trade,172.0,21.7,1.3,54.8,889.97,26.5,1.7,152289371800.0,2353156224741.0
2024/09,スタンダード市場,Standard,28 銀行業,28 Banks,11.0,51.9,0.3,20.55,3441.95,45.1,1.0,11087390034.0,523286160000.0
2024/09,スタンダード市場,Standard,29 証券、商品先物取引業,29 Securities & Commodity Futures,16.0,8.7,0.8,91.57,986.78,8.8,0.9,28580000000.0,274430000000.0
2024/09,スタンダード市場,Standard,30 保険業,30 Insurance,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,スタンダード市場,Standard,31 その他金融業,31 Other Financing Business,14.0,15.2,1.1,39.24,563.15,9.8,0.8,80563000000.0,975024000000.0
2024/09,スタンダード市場,Standard,32 不動産業,32 Real Estate,67.0,11.5,0.9,92.99,1215.04,10.9,1.0,110276000000.0,1212374846500.0
2024/09,スタンダード市場,Standard,33 サービス業,33 Services,193.0,15.1,1.2,72.84,939.22,16.4,1.4,119544792390.0,1446046784053.0
2024/09,グロース市場,Growth,総合,Composite,583.0,39.8,2.9,28.58,391.47,102.0,3.2,72171331753.0,2273591142340.0
2024/09,グロース市場,Growth,総合（金融業を除く）,Non-Financial,571.0,41.8,2.9,26.97,382.47,133.3,3.4,51993331753.0,2050776142340.0
2024/09,グロース市場,Growth,　　　　　 製造業,　　　　 Manufacturing ,75.0,"=""－""",2.9,-8.28,271.41,"=""－""",2.9,-39215178000.0,377703926257.0
2024/09,グロース市場,Growth,　　　　 非製造業,　　　　 Non-Manufacturing ,496.0,36.5,3.0,32.3,399.26,63.8,3.5,91208509753.0,1673072216083.0
2024/09,グロース市場,Growth,1 水産・農林業,"1 Fishery,Agriculture & Forestry","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,2 鉱業,2 Mining,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,3 建設業,3 Construction,7.0,21.4,2.4,70.74,633.76,21.8,2.5,2778000000.0,24241000000.0
2024/09,グロース市場,Growth,4 食料品,4 Foods,3.0,37.1,4.5,22.25,182.65,"=""－""",5.7,-344000000.0,6559000000.0
2024/09,グロース市場,Growth,5 繊維製品,5 Textiles & Apparels,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,6 パルプ・紙,6 Pulp & Paper,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,7 化学,7 Chemicals,5.0,525.2,2.1,1.7,420.06,"=""－""",1.6,-295000000.0,21585000000.0
2024/09,グロース市場,Growth,8 医薬品,8 Pharmaceutical,38.0,"=""－""",5.3,-30.62,132.07,"=""－""",4.2,-36456073000.0,155708067000.0
2024/09,グロース市場,Growth,9 石油・石炭製品,9 Oil & Coal Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,10 ゴム製品,10 Rubber Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,11 ガラス・土石製品,11 Glass & Ceramics Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,12 鉄鋼,12 Iron & Steel,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,13 非鉄金属,13 Nonferrous Metals,3.0,17.6,1.1,56.55,942.25,"=""－""",1.1,-313000000.0,11291000000.0
2024/09,グロース市場,Growth,14 金属製品,14 Metal Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,15 機械,15 Machinery,4.0,"=""－""",3.7,-11.56,222.84,"=""－""",3.5,-559000000.0,14989000000.0
2024/09,グロース市場,Growth,16 電気機器,16 Electric Appliances,6.0,"=""－""",2.3,-45.18,375.43,"=""－""",2.4,-3091000000.0,22371000000.0
2024/09,グロース市場,Growth,17 輸送用機器,17 Transportation Equipment,3.0,11.7,1.7,112.08,782.24,13.0,2.0,2169000000.0,14435000000.0
2024/09,グロース市場,Growth,18 精密機器,18 Precision Instruments,6.0,"=""－""",5.3,-17.49,77.25,"=""－""",2.3,-4196105000.0,51517859257.0
2024/09,グロース市場,Growth,19 その他製品,19 Other Products,7.0,17.6,1.7,54.8,558.25,30.2,1.5,3870000000.0,79248000000.0
2024/09,グロース市場,Growth,20 電気・ガス業,20 Electric Power & Gas,2.0,14.9,2.3,71.37,459.06,15.3,2.1,3074000000.0,22460000000.0
2024/09,グロース市場,Growth,21 陸運業,21 Land Transportation,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,22 海運業,22 Marine Transportation,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,23 空運業,23 Air Transportation,1.0,13.6,1.5,49.68,461.75,13.6,1.5,2997000000.0,27857000000.0
2024/09,グロース市場,Growth,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,1.0,86.9,1.4,4.75,293.36,86.9,1.4,49000000.0,3024000000.0
2024/09,グロース市場,Growth,25 情報・通信業,25 Information & Communication,242.0,68.0,3.5,17.16,330.36,"=""－""",4.0,-765798818.0,679713106000.0
2024/09,グロース市場,Growth,26 卸売業,26 Wholesale Trade,9.0,"=""－""",3.5,-20.24,349.27,106.5,4.3,1299000000.0,32328000000.0
2024/09,グロース市場,Growth,27 小売業,27 Retail Trade,32.0,28.2,2.9,41.92,403.1,36.8,3.4,18111784000.0,193517294534.0
2024/09,グロース市場,Growth,28 銀行業,28 Banks,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/09,グロース市場,Growth,29 証券、商品先物取引業,29 Securities & Commodity Futures,3.0,12.0,2.0,221.54,1350.2,20.3,3.2,11396000000.0,73136000000.0
2024/09,グロース市場,Growth,30 保険業,30 Insurance,4.0,19.1,1.2,61.96,961.3,21.4,1.2,7982000000.0,138466000000.0
2024/09,グロース市場,Growth,31 その他金融業,31 Other Financing Business,5.0,19.2,3.5,70.14,387.64,36.6,2.6,800000000.0,11213000000.0
2024/09,グロース市場,Growth,32 不動産業,32 Real Estate,20.0,15.1,2.1,108.46,793.55,15.9,2.1,17693863000.0,132241840549.0
2024/09,グロース市場,Growth,33 サービス業,33 Services,182.0,26.4,2.6,43.11,439.91,40.1,3.3,45971661571.0,557689975000.0
2024/09,－,－,大型株,Large ,99.0,24.6,2.3,273.3,2953.77,16.7,1.5,34411461100000.0,387024196000000.0
2024/09,－,－,中型株,Medium ,393.0,17.5,1.3,188.95,2497.75,16.1,1.2,16190680292710.0,224385215220994.0
2024/09,－,－,小型株,Small ,1632.0,14.7,1.0,125.66,1916.56,15.7,1.0,6281281236260.0,95313340298659.0
2024/10,プライム市場,Prime,総合,Composite,1634.0,16.8,1.2,162.36,2243.45,16.7,1.4,56218119350496.0,695662516950204.0
2024/10,プライム市場,Prime,総合（金融業を除く）,Non-Financial,1518.0,17.2,1.3,161.35,2122.36,17.3,1.5,48109069503496.0,568812288647204.0
2024/10,プライム市場,Prime,　　　　　 製造業,　　　　 Manufacturing ,709.0,18.5,1.2,167.3,2575.59,17.8,1.5,27786254053306.0,328658642365433.0
2024/10,プライム市場,Prime,　　　　 非製造業,　　　　 Non-Manufacturing ,809.0,16.0,1.5,156.13,1725.16,16.6,1.4,20322815450190.0,240153646281771.0
2024/10,プライム市場,Prime,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,9.9,0.9,244.67,2656.87,10.6,1.0,71684000000.0,788521000000.0
2024/10,プライム市場,Prime,2 鉱業,2 Mining,4.0,9.5,0.6,281.8,4475.93,6.8,0.6,438258000000.0,5200407000000.0
2024/10,プライム市場,Prime,3 建設業,3 Construction,74.0,14.0,1.1,172.31,2273.0,14.0,1.1,1470386000000.0,18176707978000.0
2024/10,プライム市場,Prime,4 食料品,4 Foods,67.0,19.5,1.3,146.46,2271.39,20.0,1.7,1697915000000.0,20416776358217.0
2024/10,プライム市場,Prime,5 繊維製品,5 Textiles & Apparels,21.0,21.7,1.0,123.88,2688.65,30.6,0.9,121325909091.0,4097221000000.0
2024/10,プライム市場,Prime,6 パルプ・紙,6 Pulp & Paper,10.0,9.5,0.5,172.08,3068.24,11.0,0.5,142908000000.0,2933226000000.0
2024/10,プライム市場,Prime,7 化学,7 Chemicals,120.0,20.4,1.1,125.75,2428.85,24.4,1.5,2175585000000.0,36160014000000.0
2024/10,プライム市場,Prime,8 医薬品,8 Pharmaceutical,34.0,27.8,1.4,106.9,2071.56,43.1,2.2,1111573000000.0,21582959000000.0
2024/10,プライム市場,Prime,9 石油・石炭製品,9 Oil & Coal Products,6.0,8.0,0.9,255.71,2400.18,7.4,0.7,620601000000.0,6460661000000.0
2024/10,プライム市場,Prime,10 ゴム製品,10 Rubber Products,11.0,10.3,0.9,279.93,3211.98,10.4,1.0,563330000000.0,5909134000000.0
2024/10,プライム市場,Prime,11 ガラス・土石製品,11 Glass & Ceramics Products,23.0,18.3,1.4,263.43,3360.66,15.4,1.0,417771000000.0,6538880093647.0
2024/10,プライム市場,Prime,12 鉄鋼,12 Iron & Steel,22.0,8.0,0.6,333.52,4353.7,6.4,0.6,1127737000000.0,12296056000000.0
2024/10,プライム市場,Prime,13 非鉄金属,13 Nonferrous Metals,20.0,80.4,0.8,35.82,3445.28,17.8,0.9,400905000000.0,7840584000000.0
2024/10,プライム市場,Prime,14 金属製品,14 Metal Products,28.0,17.5,0.7,105.21,2672.95,17.8,0.9,255128000000.0,4978567000000.0
2024/10,プライム市場,Prime,15 機械,15 Machinery,113.0,16.6,1.4,219.76,2557.56,19.0,1.7,2557914000000.0,28777863000000.0
2024/10,プライム市場,Prime,16 電気機器,16 Electric Appliances,129.0,24.2,1.6,156.37,2367.18,25.1,2.2,5891927644215.0,67903584815509.0
2024/10,プライム市場,Prime,17 輸送用機器,17 Transportation Equipment,41.0,13.3,0.8,194.44,3301.59,9.0,0.9,8867944500000.0,87080861098060.0
2024/10,プライム市場,Prime,18 精密機器,18 Precision Instruments,27.0,21.1,1.8,157.0,1886.43,25.7,3.2,778555000000.0,6250418000000.0
2024/10,プライム市場,Prime,19 その他製品,19 Other Products,37.0,14.5,1.3,185.56,2098.47,20.7,2.3,1055134000000.0,9431837000000.0
2024/10,プライム市場,Prime,20 電気・ガス業,20 Electric Power & Gas,22.0,7.0,0.7,238.84,2248.86,5.2,0.7,2257724334000.0,16650437874171.0
