国債金利情報 (令和7年6月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R6.6.25,0.149,0.306,0.35,0.446,0.565,0.589,0.684,0.789,0.898,1.02,1.498,1.824,2.001,2.121,2.312
R6.6.26,0.15,0.312,0.357,0.451,0.573,0.604,0.704,0.813,0.921,1.044,1.524,1.851,2.031,2.155,2.352
R6.6.27,0.18,0.372,0.401,0.498,0.617,0.657,0.756,0.862,0.97,1.092,1.56,1.881,2.064,2.188,2.383
R6.6.28,0.172,0.353,0.384,0.483,0.602,0.641,0.742,0.842,0.941,1.062,1.524,1.848,2.04,2.153,2.349
R6.7.1,0.175,0.36,0.39,0.492,0.615,0.662,0.762,0.862,0.962,1.083,1.549,1.873,2.058,2.163,2.351
R6.7.2,0.176,0.365,0.401,0.508,0.63,0.679,0.786,0.89,0.985,1.104,1.573,1.894,2.075,2.174,2.352
R6.7.3,0.166,0.35,0.391,0.493,0.613,0.664,0.778,0.886,0.984,1.1,1.579,1.908,2.088,2.185,2.364
R6.7.4,0.148,0.34,0.382,0.482,0.599,0.645,0.754,0.863,0.967,1.086,1.571,1.908,2.092,2.188,2.364
R6.7.5,0.148,0.346,0.382,0.483,0.598,0.635,0.745,0.85,0.958,1.072,1.566,1.902,2.098,2.2,2.379
R6.7.8,0.15,0.362,0.398,0.499,0.616,0.655,0.764,0.869,0.974,1.092,1.576,1.907,2.099,2.2,2.385
R6.7.9,0.14,0.353,0.391,0.484,0.61,0.64,0.748,0.856,0.96,1.079,1.573,1.911,2.103,2.205,2.398
R6.7.10,0.131,0.343,0.387,0.48,0.605,0.649,0.756,0.865,0.969,1.093,1.586,1.924,2.115,2.22,2.415
R6.7.11,0.131,0.343,0.392,0.485,0.611,0.654,0.756,0.864,0.969,1.089,1.585,1.912,2.112,2.221,2.419
R6.7.12,0.122,0.333,0.378,0.47,0.586,0.624,0.723,0.831,0.936,1.055,1.539,1.873,2.073,2.177,2.387
R6.7.16,0.111,0.32,0.363,0.456,0.566,0.606,0.705,0.809,0.914,1.032,1.524,1.86,2.061,2.168,2.375
R6.7.17,0.115,0.33,0.374,0.467,0.577,0.62,0.72,0.824,0.924,1.042,1.528,1.861,2.055,2.173,2.376
R6.7.18,0.121,0.347,0.389,0.482,0.591,0.632,0.729,0.833,0.929,1.047,1.528,1.852,2.041,2.16,2.361
R6.7.19,0.141,0.352,0.394,0.487,0.598,0.643,0.739,0.843,0.938,1.053,1.524,1.843,2.028,2.148,2.345
R6.7.22,0.132,0.348,0.391,0.484,0.598,0.643,0.741,0.844,0.945,1.063,1.541,1.865,2.048,2.177,2.377
R6.7.23,0.149,0.362,0.402,0.492,0.607,0.654,0.755,0.854,0.954,1.073,1.55,1.865,2.057,2.181,2.385
R6.7.24,0.16,0.379,0.416,0.508,0.623,0.664,0.765,0.865,0.968,1.084,1.555,1.869,2.071,2.197,2.414
R6.7.25,0.189,0.403,0.441,0.532,0.637,0.679,0.775,0.874,0.967,1.078,1.543,1.847,2.052,2.168,2.381
R6.7.26,0.19,0.408,0.442,0.534,0.631,0.674,0.769,0.863,0.959,1.068,1.522,1.835,2.032,2.154,2.369
R6.7.29,0.182,0.394,0.425,0.511,0.607,0.651,0.74,0.836,0.931,1.041,1.497,1.814,2.009,2.13,2.346
R6.7.30,0.184,0.374,0.41,0.498,0.592,0.629,0.718,0.813,0.907,1.012,1.478,1.801,2.003,2.131,2.36
R6.7.31,0.275,0.45,0.49,0.579,0.671,0.704,0.783,0.875,0.965,1.07,1.527,1.844,2.043,2.176,2.396
R6.8.1,0.286,0.46,0.498,0.577,0.658,0.69,0.762,0.851,0.941,1.046,1.494,1.809,2.016,2.152,2.36
R6.8.2,0.256,0.41,0.439,0.511,0.583,0.613,0.682,0.775,0.87,0.974,1.432,1.746,1.969,2.098,2.302
R6.8.5,0.167,0.265,0.271,0.312,0.37,0.403,0.462,0.557,0.661,0.781,1.259,1.576,1.833,1.956,2.157
R6.8.6,0.187,0.29,0.306,0.364,0.436,0.493,0.574,0.673,0.783,0.908,1.393,1.734,1.967,2.118,2.318
R6.8.7,0.167,0.27,0.28,0.344,0.421,0.476,0.567,0.667,0.775,0.899,1.409,1.766,2.024,2.189,2.401
R6.8.8,0.17,0.269,0.279,0.339,0.411,0.458,0.531,0.63,0.735,0.855,1.352,1.704,1.96,2.107,2.306
R6.8.9,0.198,0.301,0.311,0.369,0.445,0.483,0.556,0.655,0.759,0.881,1.369,1.722,1.954,2.081,2.274
R6.8.13,0.203,0.3,0.311,0.368,0.444,0.469,0.54,0.639,0.741,0.869,1.357,1.714,1.951,2.081,2.282
R6.8.14,0.2,0.296,0.306,0.358,0.431,0.45,0.52,0.615,0.716,0.833,1.323,1.674,1.91,2.051,2.255
R6.8.15,0.224,0.321,0.333,0.384,0.451,0.47,0.544,0.638,0.741,0.861,1.336,1.684,1.913,2.051,2.255
R6.8.16,0.245,0.357,0.375,0.43,0.494,0.514,0.585,0.679,0.78,0.898,1.377,1.719,1.938,2.068,2.275
R6.8.19,0.257,0.374,0.39,0.445,0.509,0.529,0.599,0.69,0.791,0.914,1.405,1.75,1.971,2.093,2.304
R6.8.20,0.247,0.363,0.38,0.436,0.499,0.519,0.593,0.685,0.787,0.916,1.414,1.76,1.982,2.118,2.327
R6.8.21,0.248,0.352,0.367,0.416,0.481,0.504,0.575,0.67,0.772,0.896,1.395,1.733,1.962,2.102,2.319
R6.8.22,0.259,0.363,0.378,0.426,0.491,0.509,0.583,0.675,0.777,0.9,1.39,1.72,1.945,2.086,2.298
R6.8.23,0.256,0.372,0.387,0.437,0.507,0.529,0.608,0.695,0.797,0.919,1.403,1.733,1.952,2.086,2.298
